# depth[mm]	Amp[V]	HF [V]	TGC [dB]
101.1	0.001	0.001	0.157
101.2	0.001	0.001	0.157
101.3	0.001	0.001	0.157
101.5	0.001	0.001	0.157
101.6	0.001	0.001	0.157
101.7	0.001	0.001	0.157
101.9	0.001	0.001	0.157
102.0	0.001	0.001	0.157
102.1	0.001	0.001	0.315
102.3	0.001	0.001	0.315
102.4	0.001	0.001	0.157
102.5	0.001	0.001	0.315
102.7	0.001	0.001	0.157
102.8	0.001	0.001	0.157
102.9	0.001	0.001	0.157
103.1	0.001	0.001	0.315
103.2	0.001	0.001	0.157
103.3	0.001	0.001	0.315
103.5	0.001	0.001	0.157
103.6	0.001	0.001	0.157
103.7	0.001	0.001	0.315
103.9	0.001	0.001	0.315
104.0	0.001	0.001	0.157
104.1	0.001	0.001	0.315
104.3	0.001	0.001	0.157
104.4	0.001	0.001	0.157
104.5	0.001	0.001	0.157
104.7	0.001	0.001	0.315
104.8	0.001	0.001	0.157
104.9	0.001	0.001	0.315
105.1	0.001	0.001	0.157
105.2	0.001	0.001	0.157
105.3	0.001	0.001	0.315
105.5	0.001	0.001	0.157
105.6	0.001	0.001	0.157
105.7	0.001	0.001	0.157
105.9	0.001	0.001	0.157
106.0	0.001	0.001	0.157
106.1	0.001	0.001	0.315
106.3	0.002	0.001	0.157
106.4	0.002	0.001	0.157
106.5	0.002	0.001	0.157
106.7	0.001	0.001	0.157
106.8	0.001	0.001	0.157
106.9	0.001	0.001	0.315
107.1	0.002	0.001	0.315
107.2	0.002	0.001	0.157
107.3	0.002	0.001	0.315
107.5	0.001	0.001	0.157
107.6	0.001	0.001	0.157
107.7	0.002	0.001	0.157
107.9	0.002	0.001	0.157
108.0	0.002	0.001	0.157
108.1	0.002	0.001	0.157
108.3	0.001	0.001	0.157
108.4	0.001	0.001	0.157
108.5	0.002	0.001	0.157
108.7	0.004	0.001	0.157
108.8	0.005	0.001	0.157
108.9	0.006	0.009	0.315
109.1	0.006	0.001	0.157
109.2	0.004	0.001	0.157
109.3	0.003	0.001	0.157
109.5	0.002	0.001	0.315
109.6	0.002	0.001	0.157
109.7	0.002	0.001	0.315
109.9	0.003	0.001	0.157
110.0	0.002	0.001	0.157
110.1	0.002	0.001	0.315
110.3	0.002	0.001	0.315
110.4	0.002	0.001	0.157
110.5	0.002	0.001	0.315
110.7	0.002	0.001	0.157
110.8	0.002	0.001	0.157
110.9	0.002	0.001	0.157
111.1	0.002	0.001	0.315
111.2	0.002	0.001	0.157
111.3	0.002	0.001	0.157
111.5	0.002	0.001	0.157
111.6	0.002	0.001	0.157
111.7	0.002	0.001	0.315
111.9	0.002	0.001	0.315
112.0	0.002	0.001	0.157
112.1	0.002	0.001	0.157
112.3	0.002	0.001	0.157
112.4	0.002	0.001	0.157
112.5	0.002	0.001	0.315
